year,month,hour,weekday,crashes,fatal,serious
2023,6,6,7,38,0,8
2023,6,7,1,25,0,5
2023,6,7,2,288,3,36
2023,6,7,3,329,2,40
2023,6,7,4,299,0,42
2023,6,7,5,296,2,33
2023,6,7,6,278,1,34
2023,6,7,7,33,0,6
2023,6,8,1,44,2,7
2023,6,8,2,246,3,30
2023,6,8,3,250,0,27
2023,6,8,4,199,0,24
2023,6,8,5,259,1,37
2023,6,8,6,210,1,19
2023,6,8,7,77,0,10
2023,6,9,1,108,2,27
2023,6,9,2,179,3,31
2023,6,9,3,199,1,28
2023,6,9,4,157,2,29
2023,6,9,5,197,3,34
2023,6,9,6,242,2,36
2023,6,9,7,151,1,32
2023,6,10,1,173,4,47
2023,6,10,2,190,2,25
2023,6,10,3,216,0,51
2023,6,10,4,218,5,40
2023,6,10,5,238,6,35
2023,6,10,6,257,6,41
2023,6,10,7,214,1,36
2023,6,11,1,207,5,56
2023,6,11,2,231,2,48
2023,6,11,3,226,1,37
2023,6,11,4,221,2,39
2023,6,11,5,265,1,46
2023,6,11,6,302,2,41
2023,6,11,7,261,3,48
